Designator,Mid X,Mid Y,Rotation,Layer
D16,99.25,-68.06,270.0,top
D17,107.58,-86.88,180.0,top
D18,146.55,-41.25,0.0,top
D19,118.8925,-74.85,0.0,top
D2,140.1,-131.3,0.0,top
D20,149.7307,-84.7678,90.0,top
D21,149.682928,-104.927929,0.0,top
D22,147.082928,-103.177929,180.0,top
D3,122.5875,-155.45,180.0,bottom
D4,118.95,-154.65,90.0,bottom
D5,150.1,-125.45,90.0,top
D6,114.58,-119.15,180.0,top
D7,150.55,-161.05,270.0,bottom
D8,114.89,-97.55,180.0,top
D9,150.95,-155.95,180.0,bottom
F1,141.35,-135.45,270.0,bottom
F2,144.8,-138.85,0.0,top
F3,98.1,-110.8,270.0,top
F4,116.95,-156.65,90.0,bottom
F5,114.46125,-131.75,180.0,top
F6,111.3,-136.6,0.0,bottom
FB1,99.25,-65.16,270.0,top
FL1,104.5625,-50.8,270.0,top
FL2,147.35,-47.95,90.0,top
H1,98.25,-37.7,0.0,top
H2,153.4,-37.7,0.0,top
H3,98.25,-162.9,0.0,top
H4,153.45,-162.9,0.0,top
J1,144.9375,-139.965,270.0,bottom
J10,142.5,-160.15,180.0,bottom
J11,104.525,-37.86,90.0,top
J12,113.85,-37.01,90.0,top
J13,147.325,-37.85,90.0,top
J14,109.5875,-150.56,90.0,bottom
J15,101.85,-131.8,90.0,bottom
J2,133.85,-161.95,0.0,bottom
J3,144.7125,-133.245,90.0,top
J4,98.15,-104.06,180.0,bottom
J5,121.35,-162.15,0.0,bottom
J6,99.2,-141.4,270.0,top
J7,151.65,-147.2,90.0,top
JP1,130.525,-126.5,180.0,top
JP10,107.55,-73.45,90.0,top
JP11,116.25,-50.75,0.0,top
JP12,101.25,-65.86,270.0,top
JP13,104.98,-81.18,90.0,top
JP15,126.2,-38.45,180.0,top
JP16,143.43,-103.04,90.0,top
JP17,151.047071,-94.547069,0.0,top
JP2,126.15,-126.5,180.0,top
JP3,133.75,-134.4,90.0,top
JP4,136.35,-134.4,90.0,top
JP5,131.15,-134.4,90.0,top
JP6,131.32,-144.4,0.0,bottom
JP7,107.46125,-130.0,270.0,top
L1,121.3875,-103.65,270.0,top
L2,105.32,-42.6,0.0,top
L3,148.15,-42.75,180.0,top
L4,133.119999,-110.655,180.0,top
L5,141.027071,-93.657069,0.0,top
L6,105.0,-49.5,0.0,top
